AIアシスタント|||AI assistant|||AI 助手
質問を入力してください...|||Type your question...|||请输入问题...
注文・購入|||Orders & buying|||下单・购买
注文方法を教えて|||How do I order?|||如何下单？
【ご注文方法】\n1. 商品一覧からお好みの商品をカートに追加\n2. 1点からご注文可能です\n3. お届け先を入力すると送料が自動計算されます（薄手1点は全国一律¥280）\n4. お支払い方法を選んで注文確定\n\n詳しくは画面上部の「商品ガイド」もご覧ください。|||[How to order]\n1. Add the items you like to your cart from the product list\n2. You can order from a single item\n3. Enter your delivery address and shipping is calculated automatically (¥280 flat nationwide for one thin item)\n4. Choose a payment method and confirm\n\nSee "Product guide" at the top of the screen for details.|||【下单方法】\n1. 从商品列表将心仪商品加入购物车\n2. 1件即可下单\n3. 输入收货地址后将自动计算运费（薄款1件全国统一¥280）\n4. 选择支付方式并确认订单\n\n详情请参阅页面上方的「商品指南」。
最低注文数は？|||What is the minimum order?|||最低起订量是多少？
1点からご注文いただけます。\n薄手の商品1点だけのご注文なら、送料は全国一律¥280（クリックポスト）でお届けします。|||You can order from a single item.\nFor an order of just one thin item, shipping is ¥280 flat nationwide (Click Post).|||1件即可下单。\n若仅订购1件薄款商品，运费为全国统一¥280（Click Post）。
カートの使い方は？|||How does the cart work?|||购物车怎么用？
【カートの使い方】\n・商品の「カートに追加」ボタンで追加できます\n・カートアイコンをタップすると中身を確認できます\n・数量の変更や削除もカート内で行えます\n\n在庫は先着のため、お早めのご注文をおすすめします。|||[Using the cart]\n- Add items with the "Add to cart" button\n- Tap the cart icon to see what is inside\n- You can change quantities or remove items in the cart\n\nStock is first-come, first-served, so we recommend ordering early.|||【购物车使用方法】\n・可通过商品的「加入购物车」按钮添加\n・点击购物车图标即可查看内容\n・也可在购物车内更改数量或删除\n\n库存先到先得，建议尽早下单。
注文後のキャンセルはできる？|||Can I cancel after ordering?|||下单后可以取消吗？
ご注文確定後のキャンセル・変更はお受けしておりません。\nご注文前に商品内容をよくご確認ください。\n\n万一、商品内容が記載事項と大きく異なる場合は、商品到着後7日以内にご連絡ください。|||We do not accept cancellations or changes after an order is confirmed.\nPlease check the item details carefully before ordering.\n\nIf an item differs significantly from its description, contact us within 7 days of delivery.|||订单确认后不接受取消或变更。\n请在下单前仔细确认商品内容。\n\n若商品内容与说明存在重大差异，请在收到商品后7天内联系我们。
